"cndnt51";"em1";"Intel(R) Ethernet Connection X722 for 1GbE";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"38:68:DD:75:F6:B0";"7";"10.37.40.52";"255.255.255.0";"10.37.40.1";"138.103.140.100,138.103.140.13";"False";;;
"cnint99";"em1";"Intel(R) Ethernet Connection X722 for 1GbE";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"38:68:DD:76:1A:20";"10";"138.103.18.62";"255.255.254.0";"138.103.18.1";"138.103.140.100,164.4.92.8";"False";;;
"decfs60";"Production";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:EB:50";"7";"164.4.118.14";"255.255.254.0";"164.4.118.1";"164.4.30.9,138.103.131.152,138.103.55.242";"False";;;
"decnt102";"Ethernet1";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:E6:0D";"7";"138.103.54.136";"255.255.252.0";"138.103.52.1";"138.103.55.242,138.103.131.152,164.4.30.9";"False";;;
"decnt160";"Ethernet0";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com";"00:50:56:A0:02:BC";"15";"138.103.167.251";"255.255.254.0";"138.103.166.1";"138.103.167.228,138.103.55.242";"False";;;
"decnt161";"Ethernet0";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com";"00:50:56:A0:74:5B";"6";"138.103.167.252";"255.255.254.0";"138.103.166.1";"138.103.167.228,138.103.55.242";"False";;;
"decnt186";"Production";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:A0:66:BD";"4";"138.103.52.112";"255.255.252.0";"138.103.52.1";"138.103.55.242,138.103.131.152,138.103.131.152,164.4.30.9";"False";;;
"decnt216";"Local Area Connection";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com,walter.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:B2:00:20";"3";"138.103.52.146";"255.255.252.0";"138.103.52.1";"138.103.55.242,138.103.131.152,164.4.30.9";"True";;;"138.103.53.82"
"decnt223";"Ethernet1";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com";"00:50:56:AB:46:81";"9";"138.103.90.252";"255.255.255.0";"138.103.90.1";"164.4.30.177,164.4.30.117";"False";;;
"decnt234";"Production";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com";"00:50:56:A0:0B:0E";"6";"138.103.55.212";"255.255.252.0,255.255.252.0,255.255.252.0,255.255.252.0";"138.103.52.1";"138.103.55.242,164.4.30.9";"False";;;
"decnt99";"Local Area Connection 2";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com,walter.sandvik.com,de.sandvik.com,sandvik.com";"00:50:56:A0:71:2F";"3";"138.103.55.235";"255.255.252.0";"138.103.52.1";"138.103.55.242,164.4.30.9";"False";;;
"decnt9";"Ethernet0";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com";"00:50:56:A0:1A:96";"15";"138.103.166.10";"255.255.254.0";"138.103.166.1";"138.103.131.152,138.103.55.242";"False";;;
"deint102";"Ethernet0 2";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com,walter.sandvik.com";"00:50:56:A0:39:E6";"3";"138.103.52.15";"255.255.252.0";"138.103.52.1";"138.103.55.242,138.103.131.152,164.4.30.9";"True";;;"138.103.53.82"
"deint103";"Production";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com";"00:50:56:AB:DC:D5";"6";"138.103.52.43";"255.255.252.0";"138.103.52.1";"138.103.55.242,164.4.30.9";"False";;;
"deint116";"Ethernet0";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com";"00:50:56:A0:5B:9C";"15";"138.103.167.67";"255.255.254.0";"138.103.166.1";"138.103.167.228,138.103.55.242";"False";;;
"deint12";"em1";"Intel(R) Ethernet Connection X722 for 1GbE";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"38:68:DD:69:10:78";"7";"164.4.242.231";"255.255.255.128";"164.4.242.129";"164.4.30.117,138.103.55.242,138.103.131.170,138.103.131.152";"False";;;
"deint163";"Ethernet 9";"QLogic BCM57810 10 Gigabit Ethernet (NDIS VBD Client) #6";"win.dom.sandvik.com,walter.sandvik.com";"F4:E9:D4:E3:3C:D0";"22";"138.103.52.25";"255.255.252.0";"138.103.52.1";"138.103.55.242,138.103.131.152,164.4.30.9";"True";;;"138.103.53.82"
"deint163";"Ethernet";"QLogic BCM57810 10 Gigabit Ethernet (NDIS VBD Client) #5";"win.dom.sandvik.com,walter.sandvik.com";"F4:E9:D4:E3:3C:D2";"2";"138.103.52.20";"255.255.252.0";"138.103.52.1";"138.103.55.242,138.103.131.152,164.4.30.9";"True";;;"138.103.53.82"
"deint163";"Ethernet 4";"IBM USB Remote NDIS Network Device #3";"win.dom.sandvik.com,walter.sandvik.com";"0A:94:EF:65:88:CD";"26";"169.254.95.120";"255.255.255.0";"";"";"True";;;"169.254.95.118"
"deint163";"prod";"Microsoft Network Adapter Multiplexor Driver";"win.dom.sandvik.com,walter.sandvik.com";"F4:E9:D4:E3:34:92";"12";"138.103.55.236";"255.255.252.0,255.255.252.0";"138.103.52.1";"138.103.52.242,164.4.30.9";"False";;;
"deint165";"PROUD";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:A0:2B:AF";"3";"138.103.55.36";"255.255.252.0";"138.103.52.1";"138.103.55.242,164.4.30.9";"False";;;
"deint172";"Prod-Vlan-55";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com,de.sandvik.com";"00:50:56:AB:77:55";"7";"138.103.89.184";"255.255.255.0";"138.103.89.1";"164.4.30.177,164.4.30.117";"False";;;
"deint172";"Ethernet1";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com,de.sandvik.com";"00:50:56:AB:B4:FA";"4";"10.183.22.56";"255.255.255.0";"";"";"False";;;
"deint179";"Ethernet0";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:A0:33:3F";"6";"138.103.55.249";"255.255.252.0";"138.103.52.1";"138.103.55.242,164.4.30.9";"False";;;
"deint183";"Production-Backup";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com";"00:50:56:A0:58:B4";"4";"138.103.167.161";"255.255.254.0";"138.103.166.1";"138.103.167.228,138.103.55.242";"False";;;
"deint184";"Production-Vlan-55";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:16:BC";"16";"138.103.89.252";"255.255.255.0";"138.103.89.1";"164.4.30.177,164.4.30.117";"False";;;
"deint184";"Backup Vlan -188";"vmxnet3 Ethernet Adapter #3";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:E3:38";"14";"10.183.22.16";"255.255.255.0";"";"";"False";;;
"deint185";"Prod-vlan-59";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:00:F9";"15";"138.103.90.88";"255.255.255.0";"138.103.90.1";"164.4.30.177,164.4.30.117";"False";;;
"deint192";"Product-Vlan-59";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:B7:00";"5";"138.103.90.169";"255.255.255.0";"138.103.90.1";"164.4.30.177,164.4.30.117";"False";;;
"deint192";"Backup-188";"vmxnet3 Ethernet Adapter #3";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:47:07";"2";"10.183.22.18";"255.255.255.0";"";"";"False";;;
"deint194";"Prod-Vlan57";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:6F:14";"4";"164.4.87.19";"255.255.255.0";"164.4.87.1";"164.4.30.117,164.4.30.177";"False";;;
"deint194";"Backup-Vlan3928";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:0E:AF";"6";"10.180.207.242";"255.255.255.0";"";"";"False";;;
"deint195";"Prod_VLAN54";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:F3:FD";"2";"164.4.185.26";"255.255.254.0";"164.4.184.1";"164.4.30.177,164.4.30.117";"False";;;
"deint195";"Backup";"vmxnet3 Ethernet Adapter #3";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:F7:C1";"3";"10.183.20.240";"255.255.255.0";"";"";"False";;;
"deint203";"Prod";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:A0:65:87";"3";"138.103.54.203";"255.255.252.0";"138.103.52.1";"138.103.55.242,164.4.30.9,138.103.131.152";"False";;;
"deint208";"Prod";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:A0:5B:54";"2";"138.103.55.11";"255.255.252.0";"138.103.52.1";"138.103.55.242,164.4.30.9,138.103.131.152";"False";;;
"deint211";"Prod_57";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:96:21";"5";"164.4.87.149";"255.255.255.0";"164.4.87.1";"164.4.30.117,164.4.30.177";"False";;;
"deint211";"Backup_3928";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:D9:26";"2";"10.180.207.215";"255.255.255.0";"";"";"False";;;
"deint212";"Prod";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:C6:B9";"5";"164.4.185.41";"255.255.254.0";"164.4.184.1";"164.4.30.177,164.4.30.117";"False";;;
"deint212";"Backup";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:1D:D9";"4";"10.183.20.241";"255.255.255.0";"";"";"False";;;
"deint215";"Backup";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com,walter.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:59:C1";"15";"10.62.242.15";"255.255.255.192";"";"";"False";;;
"deint215";"Prod";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com,walter.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:A0:0E:6C";"7";"138.103.52.124";"255.255.252.0";"138.103.52.1";"138.103.55.242,138.103.131.152,164.4.30.9";"True";;;"138.103.53.82"
"deint216";"Prod";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:A0:11:BD";"4";"138.103.53.106";"255.255.252.0";"138.103.52.1";"138.103.55.242,138.103.131.152";"False";;;
"deint216";"Backup";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:27:36";"7";"10.62.242.16";"255.255.255.192";"";"";"False";;;
"deint218";"Prod";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:A0:53:B4";"8";"164.4.118.70";"255.255.255.0";"164.4.118.1";"164.4.30.9,138.103.131.152";"False";;;
"deint219";"Prod";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:01:DF";"3";"138.103.86.185";"255.255.255.0";"138.103.86.1";"164.4.30.177,164.4.30.117";"False";;;
"deint219";"Backup-169";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:B9:9B";"2";"10.180.206.118";"255.255.255.0";"";"";"False";;;
"deint220";"Prod";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:4E:8A";"2";"164.4.118.160";"255.255.254.0";"164.4.118.1";"164.4.30.9,138.103.131.152";"False";;;
"deint221";"Ethernet0";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:A0:20:57";"3";"138.103.53.102";"255.255.252.0";"138.103.52.1";"164.4.30.117,164.4.30.177";"False";;;
"deint226";"Prod-Vlan-54";"vmxnet3 Ethernet Adapter #4";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:C0:78";"2";"164.4.185.86";"255.255.255.0";"164.4.184.1";"164.4.30.177,164.4.30.117";"False";;;
"deint228";"Prod-Vlan59";"vmxnet3 Ethernet Adapter #4";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:F3:F3";"8";"138.103.90.160";"255.255.255.0";"138.103.90.1";"164.4.30.117,164.4.30.177";"False";;;
"deint228";"Backup";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:C6:04";"7";"10.183.24.74";"255.255.255.0";"";"";"False";;;
"deint229";"Prod-Vlan-56";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:90:5D";"7";"164.4.86.184";"255.255.255.0";"164.4.86.1";"164.4.30.177,164.4.30.117";"False";;;
"deint229";"Backup";"vmxnet3 Ethernet Adapter #3";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:31:DE";"3";"10.183.24.84";"255.255.255.0";"";"";"False";;;
"deint230";"Ethernet0";"Intel(R) 82574L Gigabit Network Connection";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:B4:94:2E";"2";"164.4.116.155";"255.255.255.0";"164.4.116.1";"164.4.30.9,138.103.131.170";"False";;;
"deint231";"Prod";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:6B:30";"5";"164.4.87.115";"255.255.255.0";"164.4.87.1";"164.4.30.117,164.4.30.177";"False";;;
"deint236";"Prod";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:A0:61:8B";"4";"164.4.118.129";"255.255.254.0";"164.4.118.1";"164.4.30.9,138.103.131.152,138.103.55.242";"False";;;
"deint237";"Production";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:B8:D5";"18";"138.103.167.204";"255.255.254.0";"138.103.166.1";"138.103.167.228,138.103.55.242";"False";;;
"deint238";"Prod";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com,sandvik.com,coromant.sandvik.com";"00:50:56:A0:03:95";"10";"164.4.118.130";"255.255.254.0";"164.4.118.1";"164.4.30.9,138.103.131.152";"False";;;
"deint23";"Prod-Vlan-55";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com";"00:50:56:AB:A3:B0";"2";"138.103.89.216";"255.255.255.0";"138.103.89.1";"164.4.30.177,164.4.30.117";"False";;;
"deint240";"Prod_Vlan3939";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:C0:1E";"19";"138.103.86.27";"255.255.255.0";"138.103.86.1";"164.4.30.177,164.4.30.117";"False";;;
"deint240";"Backup_Vlan184";"vmxnet3 Ethernet Adapter #3";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:7C:6B";"17";"10.183.20.231";"255.255.255.0";"";"";"False";;;
"deint241";"Prod";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:98:2E";"13";"164.4.32.136";"255.255.254.0";"164.4.32.2";"164.4.30.177,164.4.30.117";"False";;;
"deint241";"Backup";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:F8:2E";"9";"10.183.20.234";"255.255.255.0";"";"";"False";;;
"deint242";"Production_Vlan-54";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:99:69";"6";"164.4.184.42";"255.255.255.0";"164.4.184.1";"164.4.30.177,164.4.30.117";"False";;;
"deint242";"Backup";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:77:2E";"16";"10.183.20.235";"255.255.255.0";"";"";"False";;;
"deint244";"Production1";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:EF:66";"16";"164.4.118.122";"255.255.254.0";"164.4.118.1";"164.4.30.9,138.103.131.152";"False";;;
"deint246";"Prod-Vlan57";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:9B:CF";"6";"164.4.87.189";"255.255.255.0";"164.4.87.1";"164.4.30.177,164.4.30.117";"False";;;
"deint246";"Backup_Vlan3909";"vmxnet3 Ethernet Adapter #3";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:A8:DD";"9";"10.183.23.118";"255.255.255.0";"";"";"False";;;
"deint249";"Production-57";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:F2:01";"5";"164.4.87.32";"255.255.255.0";"164.4.87.1";"164.4.30.117,164.4.30.177";"False";;;
"deint249";"Backup-3928";"vmxnet3 Ethernet Adapter #3";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:4A:77";"2";"10.180.207.181";"255.255.255.0";"";"";"False";;;
"deint250";"Backup_VLAN_3928";"Intel(R) 82574L Gigabit Network Connection";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:30:3C";"2";"10.180.207.210";"255.255.255.0";"";"";"False";;;
"deint250";"Prod_VLAN_57";"Intel(R) 82574L Gigabit Network Connection #2";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:85:44";"3";"164.4.87.106";"255.255.255.0";"164.4.87.1";"164.4.30.117,164.4.30.177";"False";;;
"deint251";"Production-vlan57";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:EE:19";"13";"164.4.87.62";"255.255.255.0";"164.4.87.1";"164.4.30.117,164.4.30.177";"False";;;
"deint251";"Backup Vlan-3928";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:F9:F6";"3";"10.180.207.238";"255.255.255.0";"";"";"False";;;
"deint252";"Prod_VLAN_57";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:D4:6A";"17";"164.4.87.99";"255.255.255.0";"164.4.87.1";"164.4.30.117,164.4.30.177";"False";;;
"deint252";"Backup_VLAN_3928";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:D3:51";"15";"10.180.207.239";"255.255.255.0";"";"";"False";;;
"deint253";"Prod";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:97:FC";"15";"164.4.87.100";"255.255.255.0";"164.4.87.1";"164.4.30.117,164.4.30.177";"False";;;
"deint253";"Backup";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:69:9A";"7";"10.180.207.241";"255.255.255.0";"10.180.207.1";"";"False";;;
"deint255";"Ethernet0";"Intel(R) 82574L Gigabit Network Connection";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:A0:7A:5C";"5";"138.103.167.20";"255.255.254.0";"138.103.166.1";"138.103.167.228,138.103.55.242";"False";;;
"deint256";"Ethernet0 2";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:A0:45:0B";"15";"138.103.167.21";"255.255.254.0";"138.103.166.1";"138.103.167.228,138.103.55.242";"False";;;
"deint258";"Production";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:A0:1A:CE";"6";"164.4.118.20";"255.255.254.0";"164.4.118.1";"164.4.30.9,138.103.131.152";"False";;;
"deint259";"Ethernet0";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com,zpa.sandvik.com,demu.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:ED:4A";"14";"138.103.167.22";"255.255.254.0";"138.103.166.1";"138.103.167.228,138.103.55.242";"False";;;
"deint261";"Production";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:A0:50:27";"4";"164.4.118.21";"255.255.254.0";"164.4.118.1";"164.4.30.9,138.103.131.152";"False";;;
"deint267";"em1";"Intel(R) Ethernet Connection X722 for 1GbE";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"38:68:DD:69:07:F0";"12";"138.103.128.94";"255.255.248.0";"138.103.128.1";"138.103.131.152,164.4.30.9";"False";;;
"deint267";"Ethernet 2";"VirtualBox Host-Only Ethernet Adapter";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"0A:00:27:00:00:12";"18";"192.168.56.1";"255.255.255.0";"";"";"False";;;
"deint270";"Production";"Intel(R) Ethernet Connection X722 for 1GbE";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"38:68:DD:67:2E:52";"16";"10.38.108.30";"255.255.255.128";"10.38.108.1";"164.4.30.9,138.103.131.152";"False";;;
"deint271";"Slot2 Port 4";"Broadcom NetXtreme Gigabit Ethernet #4";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"E4:3D:1A:F8:76:DB";"23";"10.51.16.35";"255.255.255.224";"10.51.16.33";"138.103.131.152,138.103.131.170";"False";;;
"deint274";"Ethernet";"vmxnet3 Ethernet Adapter #2";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:2C:87";"18";"164.4.118.193";"255.255.254.0";"164.4.118.1";"164.4.30.9,138.103.131.152";"False";;;
"deint275";"Slot4 Port 4";"Broadcom NetXtreme Gigabit Ethernet";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"E4:3D:1A:23:4E:C7";"12";"138.103.128.92";"255.255.248.0";"138.103.128.1";"138.103.131.152,164.4.30.9";"False";;;
"deint284";"Production";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com,dom.sandvik.com";"00:50:56:AB:A7:D6";"7";"164.4.118.22";"255.255.254.0";"164.4.118.1";"164.4.30.9,138.101.131.152";"False";;;
"deint287";"Production";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:ED:6F";"7";"138.103.52.253";"255.255.252.0";"138.103.52.1";"164.4.30.117,164.4.30.177";"False";;;
"deint288";"Ethernet0";"vmxnet3 Ethernet Adapter";"win.dom.sandvik.com,dom.sandvik.com,sandvik.com";"00:50:56:AB:D2:41";"7";"138.103.52.50";"255.255.252.0";"138.103.52.1";"138.103.55.242,138.103.131.152";"False";;;
